"","Paises/Entidades","Tipo de conflicto","Numero del proceso","Nombre del proceso","Region","Id del acuerdo","Nombre del acuerdo","Fecha","Definicion y estado","Tipo de conflicto2","Fase del acuerdo","Grupo infancia","Grupo discapacitados","Grupo ancianos","Grupo migrantes","Grupo racial","Grupo religion","Grupo indigenas","Grupo otros","Grupo refugiados","Grupo social","Estado - autodeterminacion","Estado - referendum","Estado - secesion","Estado - unificacion","Estado - fronteras","Constitucion reforma o creacion","Elecciones","Reparto de territorios","Reparto economico","Reparto militar","Igualdad de genero","Democracia","Derechos civiles","Derechos socioeconomicos","Desarrollo","Medio ambiente","Seguridad","Alto el fuego","Corrupcion","Crimer organizado","Terrorismo","Justicia","Grupo infancia bin","Grupo discapacitados bin","Grupo ancianos bin","Grupo migrantes bin","Grupo racial bin","Grupo religion bin","Grupo indigenas bin","Grupo otros bin","Grupo refugiados bin","Grupo social bin","Constitucion reforma o creacion bin","Elecciones bin","Reparto de territorios bin","Reparto economico bin","Reparto militar bin","Igualdad de genero bin","Democracia bin","Desarrollo bin","Alto el fuego bin","Corrupcion bin","Crimer organizado bin","Justicia bin","PAISES"
"222","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",1421,"Constitution of 18 March 2005",2005-03-18,"Multiparty signed/agreed","Intra","SubComp",3,2,0,0,3,3,0,0,0,2,"0","1","0","0","0",3,3,0,0,3,3,3,"1","1",3,"1","1",0,2,0,"1",1,"1","1","0","0","1","1","0","0","0","1","1","1","0","0","1","1","1","1","0","1","0","1","BDI"
"223","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",202,"Accord de Partage de Pouvoir au Burundi",2004-08-06,"Multiparty signed/agreed","Intra","SubPar",0,0,0,0,3,3,0,0,0,0,"0","1","0","0","0",3,2,0,2,3,1,2,"0","0",1,"0","1",0,0,0,"0",0,"0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0","0","BDI"
"224","Burundi","Inter-group",148,"Burundi: Local Process","Africa (excl MENA)",2034,"Contract of peaceful cohabitation (neighbourhood Teza ii of Kamenge), Burundi",2004-06-30,"Multiparty signed/agreed","IntraLocal","Imp",1,0,0,0,3,0,0,0,2,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","1",0,0,0,"0",0,"1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","BDI"
"225","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",1419,"Loi du 21 novembre 2003 portant amendement à la Constitution  de Transition du 28 octobre 2001",2003-11-21,"Multiparty signed/agreed","Intra","SubComp",0,0,0,0,3,1,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","0",2,0,0,"0",0,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","BDI"
"226","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",568,"The Global Ceasefire Agreement",2003-11-16,"Multiparty signed/agreed","Intra","Cea",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",3,0,0,0,3,1,0,"0","0",1,"0","0",3,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","BDI"
"227","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",565,"Forces Technical Agreement between the Transitional Government of the Republic of Burundi and the CNDD-FDD",2003-11-02,"Multiparty signed/agreed","Intra","SubPar",2,2,0,0,2,0,0,0,0,0,"0","0","0","0","0",0,1,0,0,3,0,0,"1","0",0,"1","0",2,0,2,"1",0,"1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","BDI"
"228","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",584,"The Protocol on Outstanding Issues of Political, Defence and Security Power Sharing in Burundi ('Pretoria II Protocol')",2003-11-02,"Multiparty signed/agreed","Intra","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,1,0,0,0,0,0,"0","0",0,"0","1",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","BDI"
"229","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",582,"The Pretoria Protocol on Political, Defence and Security Power Sharing in Burundi",2003-10-08,"Multiparty signed/agreed","Intra","Imp",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,2,3,0,0,"0","0",0,"0","1",2,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","BDI"
"230","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",1304,"Joint Declaration of Agreement between the Government of Burundi and the CNDD-FDD (The Pretorial Protocol)",2003-01-27,"Multiparty signed/agreed","Intra","Cea",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","0",3,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","BDI"
"231","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",1904,"Memorandum of Agreement for the Implementation of the Ceasefire Agreement Signed
on 07/10/2002",2003-01-25,"Multiparty signed/agreed","Intra","Cea",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","0",3,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","BDI"
